algo, time
bubble, 2.7969
merge, 0.0338
bubble, 2.8059
merge, 0.0335
bubble, 2.7891
merge, 0.0336
bubble, 2.7986
merge, 0.0338
bubble, 2.7945
merge, 0.0336
bubble, 2.8066
merge, 0.0336
bubble, 2.7899
merge, 0.0335
bubble, 2.7960
merge, 0.0338
bubble, 2.7956
merge, 0.0338
bubble, 2.7894
merge, 0.0336
bubble, 2.7807
merge, 0.0335
bubble, 2.7923
merge, 0.0336
bubble, 2.7917
merge, 0.0336
bubble, 2.7959
merge, 0.0335
bubble, 2.7943
merge, 0.0336
bubble, 2.8039
merge, 0.0337
bubble, 2.7929
merge, 0.0336
bubble, 2.7945
merge, 0.0337
bubble, 2.8084
merge, 0.0336
bubble, 2.8056
merge, 0.0336
